"ID","subspecies","authority","code","comment","status","species","species_id","inaturalist","taxonID","notes"
2581,"Chalcophaps indica augusta","Bonaparte, 1855",,,,"Chalcophaps indica",2013,22248,"https://www.inaturalist.org/taxa/720863",
2578,"Chalcophaps indica indica","(Linnaeus, 1758)",,,,"Chalcophaps indica",2013,22249,"https://www.inaturalist.org/taxa/720864",
2580,"Chalcophaps indica maxima","Hartert, 1931",,,,"Chalcophaps indica",2013,,,
2583,"Chalcophaps indica minima","Hartert, 1931",,,,"Chalcophaps indica",2013,22250,"https://www.inaturalist.org/taxa/720865",
2582,"Chalcophaps indica natalis","Lister, 1889",,,,"Chalcophaps indica",2013,13810,"https://www.inaturalist.org/taxa/123104",
2579,"Chalcophaps indica robinsoni","Baker, ECS, 1928",,,,"Chalcophaps indica",2013,18301,"https://www.inaturalist.org/taxa/699211",
2585,"Chalcophaps longirostris longirostris","Gould, 1848",,,,"Chalcophaps longirostris",2014,22251,"https://www.inaturalist.org/taxa/720866",
2586,"Chalcophaps longirostris rogersi","Mathews, 1912","TAX","Subspecific epithet chrysochlora suppressed. Forms formerly allocated to that taxon now divided between C. l. rogersi and C. l. timorensis. Schodde & Mason, 1997.",,"Chalcophaps longirostris",2014,22252,"https://www.inaturalist.org/taxa/720867",
2587,"Chalcophaps longirostris sandwichensis","Ramsay, EP, 1878",,,,"Chalcophaps longirostris",2014,14995,"https://www.inaturalist.org/taxa/508099",
2584,"Chalcophaps longirostris timorensis","Bonaparte, 1856",,,,"Chalcophaps longirostris",2014,,,
